,0,1,2,3,4,5,6,7,8
65,L-Proline,3.17,116.0707,115.06343,[M+H]+,TRUE,C5H9NO2,Analyte List - Metabolite,2120
66,L-Tryptophan,7.39,205.09723,204.08995,[M+H]+,TRUE,C11H12N2O2,Analyte List - Metabolite,2120
67,L-Valine,2.79,118.08634,117.07907,[M+H]+,TRUE,C5H11NO2,Analyte List - Metabolite,2120
68,m-Coumaric acid,4.48,165.05465,164.04737,[M+H]+,TRUE,C9H8O3,Analyte List - Metabolite,2120
69,N-Acetylputrescine,19.78,131.11792,130.11065,[M+H]+,TRUE,C6H14N2O,Analyte List - Metabolite,2120
70,N-Acetylserotonin,8.44,219.11263,218.10535,[M+H]+,TRUE,C12H14N2O2,Analyte List - Metabolite,2110
71,N-Methylhydantoin,7.39,115.05424,114.04697,[M+H]+,TRUE,C4H6N2O2,Analyte List - Metabolite,1110
72,Niacinamide,3.62,123.05533,122.04805,[M+H]+,TRUE,C6H6N2O,Analyte List - Metabolite,2120
73,Normetanephrine,2.41,184.09458,183.0873,[M+H]+,TRUE,C9H13NO3,Analyte List - Metabolite,1100
74,Nutriacholic acid,21.1,413.26775,390.27849,"[M+Na]+, [M+H]+",TRUE,C24H38O4,Analyte List - Metabolite,2120
75,o-Tyrosine,6.98,182.08085,181.07358,[M+H]+,TRUE,C9H11NO3,Analyte List - Metabolite,2120
76,Oxalacetic acid,1.59,67.01239,132.01022,[M+H+H]2+,TRUE,C4H4O5,Analyte List - Metabolite,1120
77,Oxypurinol,4.41,153.04079,152.03352,[M+H]+,TRUE,C5H4N4O2,Analyte List - Metabolite,2110
78,Pantothenic acid,6.94,220.11813,219.11085,[M+H]+,TRUE,C9H17NO5,Analyte List - Metabolite,2020
79,Paracetamol sulfate,7.46,232.02754,231.02026,[M+H]+,TRUE,C8H9NO5S,Analyte List - Metabolite,2020
80,Paraxanthine,7.44,181.07207,180.0648,[M+H]+,TRUE,C7H8N4O2,Analyte List - Metabolite,2120
81,PC(16:0/16:0),19.7,734.57186,733.56458,[M+H]+,TRUE,C40H80NO8P,Analyte List - Metabolite,1000
82,PC(18:1(9Z)/18:1(9Z)),13.28,786.60306,785.59578,[M+H]+,TRUE,C44H84NO8P,Analyte List - Metabolite,1010
83,Phenylpropiolic acid,4.49,147.04417,146.0369,[M+H]+,TRUE,C9H6O2,Analyte List - Metabolite,2110
84,Phosphoric acid,3.35,98.98295,97.97568,[M+H]+,TRUE,H3O4P,Analyte List - Metabolite,2100
85,Pipecolic acid,3.38,130.08634,129.07906,[M+H]+,TRUE,C6H11NO2,Analyte List - Metabolite,2120
86,Propanal,12.8,59.04918,58.04191,[M+H]+,TRUE,C3H6O,Analyte List - Metabolite,2120
87,Pyridoxal 5'-phosphate,0.4,248.03421,247.02694,[M+H]+,TRUE,C8H10NO6P,Analyte List - Metabolite,1120
88,Pyroglutamic acid,8.44,130.04989,129.04261,[M+H]+,TRUE,C5H7NO3,Analyte List - Metabolite,2120
89,Quinaldic acid,11.26,174.05511,173.04784,[M+H]+,TRUE,C10H7NO2,Analyte List - Metabolite,2110
90,Sepiapterin,10.15,238.08988,237.0826,[M+H]+,TRUE,C9H11N5O3,Analyte List - Metabolite,1110
91,Serotonin,4.47,177.10243,176.09515,[M+H]+,TRUE,C10H12N2O,Analyte List - Metabolite,2120
92,Sphingosine,18.86,300.2903,299.28302,[M+H]+,TRUE,C18H37NO2,Analyte List - Metabolite,2110
93,Succinic acid,3.77,119.03523,118.02795,[M+H]+,TRUE,C4H6O4,Analyte List - Metabolite,2100
94,Succinylacetone,20.21,159.06513,158.05785,[M+H]+,TRUE,C7H10O4,Analyte List - Metabolite,2020
95,Thyroxine,11.63,777.6969,776.68963,[M+H]+,TRUE,C15H11I4NO4,Analyte List - Metabolite,1110
96,Trimethylamine,7.93,60.08087,59.0736,[M+H]+,TRUE,C3H9N,Analyte List - Metabolite,2120
97,Urea,16.86,61.03887,60.03159,[M+H]+,TRUE,CH4N2O,Analyte List - Metabolite,2020
98,Ureidosuccinic acid,14.25,177.05479,176.04751,[M+H]+,TRUE,C5H8N2O5,Analyte List - Metabolite,1110
99,Uric acid,3.94,169.03556,168.02829,[M+H]+,TRUE,C5H4N4O3,Analyte List - Metabolite,2020
100,Uridine,14.25,245.07869,244.07141,[M+H]+,TRUE,C9H12N2O6,Analyte List - Metabolite,2010
